framework,method,10,20,50,100,200
fully_supervised,random,15.65 $\pm$ 2.48,17.18 $\pm$ 0.35,18.28 $\pm$ 1.60,25.63 $\pm$ 0.76,28.88 $\pm$ 2.02
fully_supervised,tpcinv,10.27 $\pm$ 0.43,12.90 $\pm$ 1.60,16.91 $\pm$ 1.43,20.02 $\pm$ 1.44,20.76 $\pm$ 0.98
fully_supervised,tpcnoclust,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,18.62 $\pm$ 1.04
fully_supervised,tpcrand,14.91 $\pm$ 0.65,17.41 $\pm$ 1.52,21.75 $\pm$ 1.92,28.14 $\pm$ 1.30,28.27 $\pm$ 0.98
fully_supervised,tpcrp,14.95 $\pm$ 0.97,19.10 $\pm$ 0.39,23.18 $\pm$ 0.89,30.06 $\pm$ 1.33,33.91 $\pm$ 2.33
fully_supervised,tpcrp_ccfl,16.50 $\pm$ 0.52,19.62 $\pm$ 0.78,22.82 $\pm$ 0.31,28.76 $\pm$ 0.72,31.51 $\pm$ 3.01
semi_supervised,random,28.37 $\pm$ 2.82,44.02 $\pm$ 8.76,57.27 $\pm$ 3.24,67.86 $\pm$ 0.32,73.76 $\pm$ 1.04
semi_supervised,tpcinv,10.45 $\pm$ 0.45,10.78 $\pm$ 0.06,11.96 $\pm$ 0.89,15.24 $\pm$ 2.23,22.80 $\pm$ 4.10
semi_supervised,tpcnoclust,10.77 $\pm$ 0.00,10.77 $\pm$ 0.00,12.82 $\pm$ 0.00,14.75 $\pm$ 0.00,37.21 $\pm$ 0.00
semi_supervised,tpcrand,24.59 $\pm$ 3.51,44.36 $\pm$ 7.29,61.87 $\pm$ 1.06,69.92 $\pm$ 0.71,75.49 $\pm$ 0.60
semi_supervised,tpcrp,36.50 $\pm$ 0.00,56.41 $\pm$ 2.00,76.59 $\pm$ 0.62,78.41 $\pm$ 0.14,79.31 $\pm$ 0.65
semi_supervised,tpcrp_ccfl,43.28 $\pm$ 0.00,60.41 $\pm$ 0.30,77.04 $\pm$ 0.18,78.83 $\pm$ 0.68,78.83 $\pm$ 0.27
ssl_embedding,random,42.92 $\pm$ 4.98,57.56 $\pm$ 2.63,67.23 $\pm$ 1.21,71.98 $\pm$ 2.11,75.81 $\pm$ 0.95
ssl_embedding,tpcinv,16.77 $\pm$ 3.03,24.44 $\pm$ 1.38,40.20 $\pm$ 3.18,50.40 $\pm$ 4.34,66.64 $\pm$ 1.26
ssl_embedding,tpcnoclust,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,33.19 $\pm$ 0.09
ssl_embedding,tpcrand,50.07 $\pm$ 3.25,62.74 $\pm$ 5.46,69.57 $\pm$ 4.50,75.42 $\pm$ 0.47,77.96 $\pm$ 0.12
ssl_embedding,tpcrp,55.59 $\pm$ 0.18,67.75 $\pm$ 3.12,75.35 $\pm$ 1.07,77.28 $\pm$ 0.59,79.14 $\pm$ 0.19
ssl_embedding,tpcrp_ccfl,62.70 $\pm$ 0.62,71.68 $\pm$ 1.95,76.15 $\pm$ 0.72,78.24 $\pm$ 0.47,78.82 $\pm$ 0.78
